,trek_name,region,no_of_days,difficulty,distance,altitude,price,SD,description,Activity Name,Typical Season,Grade Classification
10,Pangarchulla Peak Trek,Uttarakhand,6,5,47 KM,4481 mts.,10385,Joshimath to Joshimath,"
Brief Description 

An amphitheater for the entire Garhwal Range, Pangarchulla, at an altitude of 4,590M, is perfect if you want to get a real taste for the high mountains at a comfortably low altitude. With the right amount of challenge and awe-inspiring views, it has to be one of the few peaks which introduces you to difficulties other than those that come with altitude in the Himalayas. With giants such as Nanda Devi – India’s second highest peak, Kamet – India’s third highest, Dhronagiri, Hathi Ghoda, Chowkhamba, Mana, Neelkanth (to name a few) standing guard like iron knights, is it any wonder it stands confident and so sure of itself – making climbers sweat?
The trail for Pangarchulla and Kauri Pass remains the same up until the last day. As you are driving to Dhak which is the head trail for this astounding peak, you get an unobstructed view of Nanda Devi to your left and the crown of Pangarchulla to your right, sitting atop a dense forest thick with pine trees. It is a short trek which delivers a lot in its limited time of 6 days. From local towns to dust trails leading to vast open meadows, thick forests, pristine streams and rocky patches going into the white of the snow- the Pangarchulla trek introduces you to an assortment of terrain working all kinds of magic in a very short duration. Not to mention, the many reverential peaks that accompany you all throughout, all of which are soaked in historical relevance and mountaineering stories, alike.
Highlights of Pangarchulla trek
Although at an altitude which wouldn’t make many flinch, it has the ability to shake the confidence of even accomplished climbers. Why is that so, you ask? Pangarchulla presents you with different but equally enthralling challenges in both the seasons (Nov-Dec vs Mar-Apr) giving you a taste of all kinds of terrain and the associated challenges. To know more about the kinds of challenges, read the article below.
Pangarchulla : Who is this trek meant for
Given its trials and the difficult terrain, we would recommend that you consider this trek only if you have prior experience in the Himalayas and some basic skills in the mountains. These will help you adapt to the environment and the terrain better making the experience a joyous one.
The best time for Pangarchulla trek is between March and April to experience a trail covered with snow and ice, and between October and December for a predominantly rocky terrain with bits of hard snow scattered across the landscape.

",Pangarchulla Peak Trek,"Apr,May,Jun,Oct,Nov,Dec",Difficult
11,Deo Tibba Base Camp Trek,Himachal Pradesh,6,4,37 KM,4480 mts.,11700,Manali to Manali,"
Brief Description 

                        Deo Tibba Base Camp trek, also known as the Chota Chandratal trek is one of the most beautiful treks in the Manali region of Himachal Pradesh. The trail of this trek is highly varied and is home to diverse flora and fauna. Mt. Deo Tibba is visible through the entire trail of the trek. Other peaks like Indrasan and the glaciers of Jagatsukh and Deo Tibba are also visible. The maximum altitude gained during Deo Tibba is 14,698 ft (approximately). Best time to do Deo Tibba base camp is between May to October. Stay on this page for more information like Deo Tibba base camp itinerary, route map, temperature chart, photos, videos, and reviews. Scroll down to read Deo Tibba Base Camp blogs.
                    
",Deo Tibba Base Camp Trek,"June, Aug, Sep, Oct",Moderate
12,Rupin Pass Trek,Uttarakhand,8,4,52 KM,4632 mts.,15900,Dhaula to Sangla,"
Brief Description 

Stretching over 65 kilometres between the states of Uttarakhand and Himachal Pradesh, Rupin Pass is undeniably one of the Grandest Cross-Over Treks of India. Every turn on the trail feels like a giant theatre curtain unfurling, revealing dramatic landscapes drenched in a mindboggling array of colors leaving you dumbstruck in its wake. Be it a hike through thick pine and rhododendron forests or meandering through a hanging village, crossing giant glacial valleys or trudging through the narrow and steep gully of Rupin Pass, glissading down snow chutes to Ronti Gad or making your way  to the top of a waterfall, there is never a dull moment once you are on the trail!
Read: Highlights of the Rupin Pass Trek
Climbing to an altitude of 4,650 M, the Rupin Pass is a moderate level trek perfect for trekkers who have done an easy trek previously & are looking to step up their trekking game. Although the distances covered each day are reasonable and the altitude gain on the trek is relatively steady, the trail does present some challenges demanding a unique skillset to navigate its terrain efficiently.
Read: Challenges of the Rupin Pass Trek
It is not only the landscape that undergoes multitudes of transformation. The Rupin River in itself changes avatars as we move from campsite to campsite. If we had to pick one, this would perhaps be our most favourite feature of the trek. What makes it special is that you get to trek from the riverbed in Dhaula all the way to the top of the Rupin Waterfall! Not many can claim to have witnessed the course of a river as intimately as one does on the Rupin Pass Trek!
The best time to do Rupin Pass is May - June, and September - October. This page contains a complete guide to the Rupin Pass Trek. You will find everything you need to know - Rupin Pass Route Map, Weather conditions, temperature, itinerary, photos, and videos. Scroll to the end for Rupin Pass Trek blogs.

",Rupin Pass Trek,"May,Jun,Sep,Oct",Moderate
13,Kashmir Great Lakes Trek,Kashmir,8,4,69 KM,4175 mts.,14750,Sonamarg to Naranag,"
Brief Description 

The Kashmir Great Lakes Trek transports you to a divine, never before seen side of Kashmir evocative of its nickname, Heaven on Earth. This is the only trek in the Himalayas that packs three high altitude passes, five river valley crossings sporting seven alpine lakes, each an astonishing shade of green, blue and turquoise, all within an impressive span of 8 days!Every day you are confronted by opulence that is boundless, grandiose and achingly beautiful: endless blue skies; larger than life panorama of rugged mountains, flamboyant meadows teeming with wild flowers, river crossings, boulder hopping; the KGL trek leaves you spoiled for choice and how!Climbing up to an altitude of 4,206 M, the trail switches between ascents and descents on most days making it relatively easy to navigate. The only challenge lies in building endurance needed to tackle the long distances (10 kms or more) one needs to cover each day.The trek is 69 kms long and is an excellent choice for beginners looking to step up their trekking game in the Himalayas. We recommend this trail for experienced trekkers as well, not for the challenges but for the sheer beauty and extravagance it houses.
Read: Who is this trek meant for?
The best time to do the Kashmir Great Lakes trek is from July to September. Find elevation chart, temperature chart, a detailed itinerary, route map and photo of the KGL trek. Scroll to the end of the page to read blogs on the Kashmir Great Lakes Trek.

",Kashmir Great Lakes Trek,"July,Aug,Sep,Oct",Moderate
14,Markha Valley Trek,Ladakh,10,5,65 KM,5200 mts.,24800,Leh to Leh,"
Brief Description 

                        The Markha Valley trek is one of the most fascinating treks in Ladakh. The trek takes you on a beautiful journey in the land of fluttering colorful prayer flags, mane walls, high passes, exotic wildlife, and unusual shear canyons. Not to forget the authentic villages you walk past, bringing you closer to the Ladakhi culture. The colourful rock formations found on the trail, along with the views of Stok and Zanskar mountains often leave people awe-struck. The best time to do Markha Valley trek is between the months of June and September. It is a challenging trek, with loads of stream crossings, steep ascents, and descents from two high passes and long day walk and is recommended for experienced trekkers.
Gear up for a beautiful and culturally rich experience, and let the serenity of the Markha Valley's landscapes knock the stress out of your life. Scroll till the end for all information on Markha Valley Trek like - Markha Valley Route Map, Weather and temperature charts, photos, videos, and some amazing blogs.
                    
",Markha Valley Trek,"Jun,July, Aug,Sep,Oct",Difficult
15,Pin Parvati Pass Trek,Himachal Pradesh,12,6,78 KM,5298 mts.,55000,Bhunter to Kaza,"
Brief Description 

                        Pin Parvati Pass, a trans-Himalayan trek, is one of the toughest cross overs treks in the country, meant for seasoned trekkers looking for a challenge. It is your passage between two distinct worlds - that from the abundant and alive Parvati valley which starts at the confluence of Parvati river and Beas river in Himachal Pradesh to the dry, resilient and almost galactic Pin Valley in Spiti (the cold desert). And the reward for getting to the highest point of the trek – the Pass (5,298M) - is that you get a look into both the worlds at the same time. The prayer flags, the panoramic view with the assault of greens on the one side and browns on the other, while you find yourself in knee deep white snow, is an experience like no other. This is the reason why Pin Parvati Pass continues to remain our most favorite cross-over trek in the country! 

The trail of Pin Parvati starts at Bhuntar which, a town in the Kullu district of Himachal Pradesh. The Bhuntar airport connects the place to most major cities like Delhi and Chandigarh. Starting at 2,000M, The trek takes you to an astounding height of 5,289M and descends down on the other side to a small village in Spiti, by the name of Mudh (3,810 M). The experience is no less than witnessing a multitude of dimensions in a span of 12 days. Pin Parvati is a popular trail and not without good reason, too. It is a trek which marries beauty to adventure for its exquisite landscapes and its challenging terrain. The beauty of the trek is hypnotic along with it being a challenging endeavor. This trail that takes you through all kinds of terrain – forests, meadows, streams, waterfalls, glaciers and the arid lands of Spiti, is a visual lesson in the coexistence of extremes. Be prepared for an overstimulation of all your senses!

But this trek is not just about the stunning differences in landscape. It also introduces you to two distinct Himalayan cultures - the livelihoods, structure of houses, lifestyles – as you traverse from one side of the mountain to the other. The realization that communities and cultures are a product of their environment is a sheer revelation you will witness on this trek. 

Rife with poetry and drama, this trek is a much more challenging endeavor than its sister trek Pin Bhaba Pass (4,915M) which is much shorter and easier in terms of terrain and altitude gain. The length of the trek, the long distances, the demanding terrain and high vertical gains every day make the trek suitable for seasoned trekkers with extensive experience in the Himalayas. If you are a frequent trekker in the Himalayas, are familiar with altitude and acclimatization related difficulties and are looking for your next challenge, Pin Parvati Pass would be an excellent choice to make.

The best time to do this trek is between June and September. This is what makes the trek even more special. It is one of the few Himalayan treks which can be done in monsoons and hence allows you a window into the rich, monsoon landscape of the region. Stay on this page for more details on the Pin Parvati trek route map, itinerary, temperature chart, photos, and videos.

                    
",Pin Parwati Pass Trek,"July,Aug,Sep",Difficult
16,Manali Khardung La Cycle Expedition,Ladakh,12,6,561 KM,5602 mts.,35200,Manali to Khardungla,"
Brief Description 

                        The Manali to Leh cycling expedition is one quest that calls out to those who hold a true spirit
for adventure. It remains one of the most popular journeys on the top of the list of most people,
across the globe, seeking thrill and challenge. The route, which begins at the easily accessible
town of Manali, has a lot to offer in terms of terrain, beauty, weather all of which lend to making
this a challenging endeavor. It is a perfect journey for anyone looking to push their limits.
Through the route, we cross not one, not two, but FIVE high-mountain passes with the highest
being the infamous Khardung La Pass (5,359M). Each of these 5 passes has something unique to
offer. With Khardung La being the highest motorable pass in the world, Bara Lachha La
competes with it by being the loopiest of them all! Naki La and Lachu La are like twins standing
next to each other whereas Rohtang Pass brings in all the surprises by being the most
unpredictable and the moodiest of them all. But the toughest to cross is the Tanglang La Pass
which rests in wait at an altitude of 5,360M.
This is not it! The Manali Leh cycling expedition is much more than its passes – one look at the
Gata loops with all its 21 curves is enough to send a chill down your spine. The More plains
which are one of the highest & coldest deserts in the world, a constant panoramic view of snow
laden peaks riding alongside you and the glory of the many distinctly-coloured rivers like
Chandra, Bhaga and Indus are only a few examples of awe this excursion has in store for you.
The high-altitude city of Leh with all its raw beauty is the perfect ending for this perfect story of
the 561 kms of total adrenalin surge. All this said, we still maintain that this is one exploration
you only get a real taste of when experienced firsthand. Stay on this page for more details on
Manali Leh cycling route, detailed itinerary, photos, videos and reviews. Scroll down to the end
to read Manali to Leh Cycling blogs.
                    
",,,
17,Brahmatal Trek ,Uttarakhand,6,3,35 KM,3856 mts.,8900,Lohajung to Lohajung,"
Brief Description 

Resting in the depths of the Uttarakhand Himalayas, the Brahmatal trek treats you to soaring views of some lofty mountain peaks such as Mt. Trishul, Mt Nanda Ghunti and Mt. Khamet. At an altitude of 3800 m, the Brahmatal trek is open throughout the winters when most of the other trekking routes are closed making it a perfect winter trek for beginners.
Brahmatal hosts one of the loveliest forest walks that are home to diverse bird species and century old oak trees. During spring, the trails of these forests are carpeted in the red and pink blooms of rhododendrons. In winters, the landscape transforms dramatically sheathing the region in pristine white snow, making it nothing short of a Winter wonderland.
Long, never-ending ridgelines, expansive meadows, and 360-degree views of colossal peaks from the summit are some of the other attractions of the Brahmatal Trek. Read more about the Highlights of the Trek here. 
Spanning over 28 km, the Brahmatal trek begins from the base village of Lohajung located in the Chamoli district in Garhwal Himalayas. The 6 km trek from Lohajung to the Gujreni campsite runs through dense forests of Conifer, Cedar, Oak and Fir. The Gujreni campsite is at the heart of a beautiful clearing surrounded by Oak and Rhododendrons with panoramic views of snow-capped ranges.
The next day, the trek gradient increases gradually. A 2-hour trek will lead you to the Bekaltal lake, frozen during the winter months, making up for a tranquil view.
The trail heading out of the lake continues to remain dominated by Oak and Rhododendron forests. You start catching glimpses of Mt Trishul through the woods from here on. The forest soon opens up to an expansive meadow, Talindi Top, that rewards you with spectacular views of Mt. Trishul and Mt. Nanda Ghunti amongst others. The ascent continues beyond this point until you reach Jhandi Top which surpasses the views offered by Talindi Top. It is a 1.5 km descent from here onwards to the Brahmatal campsite. The campsite is delightfully set at one end of a ridge, opening up to a stunning view of the blue silhouette of mountain ranges stacked layer after layer at the horizon. The Brahmatal lake is only 500 M from the campsite. According to legend, the lake is believed to be the place where Lord Brahma meditated ages ago.
The trek to the summit begins the next day and is nothing short of thrilling. The trail climbs through moderately inclined dense forests eventually translating into a ridge stretch that opens up to gaping views of the tremendous valley behind. The summit offers awe-inspiring vistas of some well-known Himalayan ranges like Mount Trishul, sacred Mount Nanda Ghunti, Mount Chaukhamba, Mount Neelkanth, Mount Kamet and Mount Hathi Ghoda.
While the trail is relatively easy to navigate, the ascent to Brahmatal Top can be challenging during heavy snowfall season. The snow, during these times can run knee deep requiring some effort during ascent and descent. Read more about the challenges of the Brahmatal Trek along with the gear and skills needed to complete the trek here. 

",Brahmatal Trek,"Nov,Dec,Jan,Feb,Mar,Apr",Easy
18,Chadar - The Frozen River Trek,Ladakh,9,5,62 KM,3399 mts.,24250,Leh to Leh,"
Brief Description 

                        Chadar Trek in Ladakh is like no other trek in the Himalayas. Walking on a frozen thick glass like river, with dramatic mountains on both sides, is an experience of a lifetime. At only 11150 ft altitude Chadar Trek almost feels like an expedition to the North Pole, where the temperatures drop down to -30 degrees at night, the ration is transported on sledges, you find refuge in caves and life blossoms on survival instincts, making it an eminently ‘do before you die’ trip. The Chadar trek allows you to get to know the Zankari culture up close through the locals you meet on the trek and experience their hospitality. One of the highlights of the Zanskar frozen river trek is the most magnificent waterfall frozen completely from top to bottom called Nerak waterfall. The best time for Chadar trek is from mid-January to mid-February, that is when the Zanskar river freezes and you get to walk on massive slabs of ice spreading for miles and miles. The landscapes and overall experience will leave their imprints on your hearts forever. When it comes to trekking In India, Chadar is the most glamorous trek. From 2019 onwards, the local administration has made it mandatory for every Chadar Trek participant to undergo a medical examination at SNM Hospital, Leh post which a fitness certificate would be granted. We would provide more information closer to the departure date on this aspect. Continue reading here for all important information like - Chadar Trek Temperature, Route Map, Itinerary, Photos, and Videos. We have some essential blogs linked at the end to help you prepare for Chadar - The best trek in India.
                    
",Chadar Trek,"Jan,Feb",Difficult
19,Sandakphu Trek,West Bengal,7,2,53 KM,3627 mts.,13200,Jaubhari to Sepi,"
Brief Description 

                        Sandakphu, located in the North West of Darjeeling at an altitude of 11,900 feet is the highest peak of West Bengal State. Sandakphu trek has everything going for it. After all where else you will see 4 of the world's highest mountains - Mt. Everest, Makalu, Kanchenjunga, and Lhotse. The heavenly experience of walking through the Forest of blooming rhododendrons, giant magnolias, spruce and a wide range of amazing orchids is something you will find nowhere else. Sandakphu is part of Singalila range. The trekking route passes through Shilgalila National Park which is another attraction of this trek. The park boasts rare animals like Red Pandas and Pangolins & a wide variety of birds. Offering you epic views of the Kanchenjunga range known as the ""Sleeping Buddha"", Sandakphu Phalut trek is a moderate trek ideal for both beginners and experienced trekkers alike looking for a simple yet stunning display of landscapes and scenery. Being one of the best treks in the Eastern Part of India close to the Sikkim border, Sandakphu Phalut trek is best done from September to April making it one of the best winter treks there is. The starting point of the trek, Jaubhari is approx. 5 hours drive away from New Jalpaiguri (NJP) which is the closest railway station. If you want to travel by Air then closest Airport is Bagdogra. Most of the trail on Sandakphut trek is now accessible by road. Thus, we suggest you go for Goecha La trek in Sikkim instead. Although, Goecha La is more difficult compared to Sandakphu, if you want to do a trek in Sikkim, it is your best bet!
                    
",Sandakphu Trek,"Jan,Feb,Mar,Dec",Moderate
20,Kalihani Pass Trek,Himachal Pradesh,8,5,45 KM,4800 mts.,19400,Manali to Manali,"
Brief Description 

                        Located in the relatively untouched Dhauladhar range of Himachal Pradesh, the Kalihani Pass at 4850 M (15,912 FT) is a one-of-a-kind trail that combines absolute beauty with the ultimate thrill. The Kalihani Pass is a part of the famous Bara Bhangal trail connecting the two valleys of Kullu and Kangra. With its close relation to the bustling town of Manali, the Kalihani Pass trek presents trekkers with breathtaking campsites, dense meadows which are unlike anything you have seen, stunning visuals of the surrounding landscape that are simply scintillating, an adventure-packed pass climb that takes you through a steep trail full of scree, moraine and glistening white snow all the way to 4800 M with unparalleled views of Mt. Deo Tibba, Mt. Indrasan and other peaks of the Pir Panjal range. There are two other spectacular milestones of this trek, namely the 4000 M majestic Khanpara Tibba that gives you a closer view of the Dhauladhar range and the sacred elliptical Rani Sui Lake. The highlight of the trek is the stunning display of a wide array of gorgeous flowers, more than 10 varieties on the trail. Meant for experienced trekkers, expect the unexpected in this pristine and offbeat trek taking you away from the conventional paths of Himachal Pradesh. July to October are the best months to do this trek. Stay on this page for more information on the Kalihani Pass Trek - Itinerary, Route, FAQs, Temperature and Precipitation chart, reviews and photos.
                    
",Kalihani Pass Trek,"Jun,Jul,Aug,Sep,Oct",Difficult
21,Bara Bhangal Trek,Himachal Pradesh,11,5,80 KM,4875 mts.,50000,Manali to Billing,"
Brief Description 

                        The alpine terrain between the Kullu Valley and Dharamshala is one of the most spectacular and little known regions of the Western Himalaya. The Bara Bhangal trek takes one from the lush green Kullu valley to the steak landscapes of Bara Bhangal range. The Bara Bhangal trail, crossing the Dhauladhar range to connect the Kullu and Kangra valleys, is one of the most challenging routes starting from the Kullu Valley. The long and isolated route involves crossing two high altitude passes - Kalihani Pass at 4725 m and Thamsar Pass at 4875 m - and descending to the remote Bara Bhangal village - at least two days' walk away from civilization by any route and cut off from the rest of the world for the better half of the year. This trek is challenging and thus must be attempted by experienced trekkers only. The trail takes you across green grasslands, flower-laden campsites, meandering rivers, numerous waterfalls, moraines and glaciers, glacial lakes and some of the most outstanding scenery. The passes give you epic views of the some of the prominent peaks of the Dhauladhar and Pir Panjal range of Himalayas. The best time to do this trek is in the pre-monsoon month of June or in the post-monsoon months of mid-September and October. Stay on this page for more information on the Bara Bhangal Trek.
                    
",Bara Bhangal Trek,"Jul,Aug,Sep",Difficult
22,Buran Ghati Trek,Himachal Pradesh,8,4,28 KM,4589 mts.,14300,Janglik to Barua,"
Brief Description 

                        If you are looking for all the best things in one trek, Buran Ghati Trek is for you. Buran Ghati trek starts from Janglik which is approx. 150 km from Shimla. The trail comprises of the dense forest of Oak & Pine trees. The sacred Chandranahan Lake is another attraction of Buran Ghati Trek. The glacial lake remains frozen for the most part of the year. The flowers & herbs are in plenty along the trail. The beauty of numerous glistening streams of water will keep you amazed. The fruit trees are in abundance near Barua village. The fruits grown in this part are apples, pears, apricot & peaches. Buran Pass altitude is 15059 ft. The panoramic view from Buran Pass is one of the best you can get. The trail after the pass is a straight wall where you have to slide for the most part of it. This bit can be technical at times & rope may be required for ascending down the considerably straight face of ice. The trek is recommended for people who have done at least one multi-day Himalayan trek. Stay on this page for more details like Buran Ghati Pass Trek itinerary, temperature chart, FAQs, photos and videos. Scroll to the end to read Buran Ghati Trek blogs.
                    
",Buran Ghati Trek,"May,Jun,Sep,Oct",Moderate
23,Spiti Winter Homestay Trail,Himachal Pradesh,9,4,30 KM,4587 mts.,34850,Shimla to Shimla,"
Brief Description 

                        A geographical marvel and a photographer's delight, the cold desert of Spiti is a sight to behold. While this tiny patch of land houses all kinds of beauty that's rare, it remains so fresh to the eye because of how inaccessible it is all year round, especially so during winters. Our Spiti Winter Homestay Trail is the first of its kind homestay trail in the heart of this winter land nestled deep in the remotest folds of the Himalayan ranges of Himachal Pradesh.



This cold desert where temperatures can drop to as low as -30 degrees makes for some of the harshest living conditions which people call home. The trail makes you experience the warmth and hospitality of the people who are the beauty of this desolate patch of land between India and Tibet as we experience, first hand, what kind of lifestyle one has to adopt to thrive in these conditions. 

                    
",Spiti Winter Homestay Trail,Dec,Moderate
24,Sar Pass Trek,Himachal Pradesh,5,3,48 KM,4223 mts.,9950,Kasol to Kasol,"
Brief Description 

                        Sar Pass is an old favorite of trekkers in Kullu Region. The trek is recommended for all adventure souls who like snow and high mountains, irrespective of the prior experience. Starting from Kasol, Sar pass trek takes you through thick pine forests, beautiful alpine meadows, quaint villages, snow-covered mountains and some of the most splendid landscape making it one of the best treks for beginners. On one of the days of the trek, you will pass by a small frozen lake (Sar in the local dialect) from which the Sar Pass trek gets its name. The total trek distance is 48 km. Close to a height of 14000 ft, the view from the pass is that of the majestic mountains of Parvati valley. The trek is blessed with varied terrain and breath-taking views of the surrounding mountains giving you a very thrilling and enriching experience. On this page, you will find all the essential information like - Sar Pass Trek Temperature, Weather, Route Map, Photos, and Videos.
                    
",Sar Pass Trek,"Jun,Jul,Sep,Oct",Easy
25,Tarsar Marsar Trek,Kashmir,7,4,46 KM,4024 mts.,12950,Aru to Aru,"
Brief Description 

                        Kashmir has its own unique experience of trekking in its region. Tarsar Marsar is a less explored trek usually done in summers in the region of Kashmir, so-called ""Switzerland of India"". The trek comprises of exploring of two high altitude alpine lakes, viz, Tarsar and Marsar lakes situated at an altitude of 12500 ft. Other than this, the trail is brimmed with green meadows, pristine rivers and enchanting mountains and valleys in Dachigam National Park. Trekking along the lakes with lucid blue sky gives an amazing view and the chance to camp next to the emerald blue lake of Tarsar. It is the best alternative to Kashmir Great Lakes trek. Stay on this page for more info - Tarsar Marsar Trek, Route Map, Itinerary, Photos, Videos, and Reviews that will help you plan your trek.
                    
",Tarsar Marsar Trek,"Jun,Jul,Aug,Sep",Moderate
26,Kang Yatse II Trek,Ladakh,12,6,72 KM,6250 mts.,55000,Leh to Leh,"
Brief Description 

                        Located in Hemis National Park, Kang Yatse II, at 6,250M, is the shorter of the two cousins with Kang Yatse I towering beside it at 6,400M. As one of the highest trekking peaks in the vast expanse of the arid terrain in Ladakh, Kang Yatse II makes itself seen on day 6 of our trek as we make our way to its base through Markha Valley.  The peak is a thing of sheer beauty standing tall in the middle of this dry land of scree and loose rocks.
Starting from the high mountain city of Leh, you are in the presence of beauty from the get-go. The drive up to Skiu, the confluence of the distinctly colored rivers - Zanskar and Indus, the occasional sighting of wildlife that’s endemic to the region, the excruciatingly dry yet gorgeous trek through Markha Valley to finally reach the slopes of this much sought after peak which is 6,250M of beauty that’s hard to ignore once you lay your eyes on it. Passing through quaint settlements scattered across this arid landscape give you a glimpse into the local culture and livelihood of the region. Religious shrines, mani walls, stupas and other signs of the faith of the land and its people, pepper the landscape. The prayer flags add to the color palette of this otherwise monochromatic backdrop. They also lend a sense of peace to the continuously thinning air as we go up towards the higher reaches of this exquisite peak. This mud civilization is not short of old monasteries, ruined forts and abandoned structures which camouflage themselves amongst the peculiar geographical formations in the region adding to the mystery of the place. While most of the trek is long distances on a harsh terrain, the toughest day of the entire trek remains summit day when we gain an altitude of 1,200M in a single go.
The climb back down through the high altitude pass – Kongmaru La which lies at an elevation of 5,236M is yet another feature of the trek which single-handedly holds the capacity to push it straight to the top of your must-do list. The climb up to Kongmaru La pass is a few patches of steep incline between long distances of flat land rich in pikus and marmots and provides for magnificent views of Kang Yatse I, Kang Yatse II and Dzo Jongo. Adorned with prayer flags, the wind on the pass is fierce. The descent from the pass goes through deep gorges and water crossings with the valley appearing and disappearing on every turn. The terrain is interesting in its colours with rocks spread across the colour palette, geological formations with massive walls standing vertically on either side of you and the gush of water filling up these narrow passageways to the strangest and most interesting fauna you will ever see. 
Kang Yatse is a trekking peak meaning it does not require the use of technical equipment and technical skills. But, given the level of endurance required and its high altitude, this trek is for experienced climbers only. June to September are the best months to attempt this peak. Stay on this page for more information about Kang Yatse II, its route, detailed itinerary and related blog posts.  

                    
",Kang Yatse II Trek,"Jun,Jul,Aug,Sep",Difficult
27,Sham Valley Trek,Ladakh,5,2,32 KM,3875 mts.,12850,Leh to Leh,"
Brief Description 

                        The Sham Valley Trek (also known as the “baby trek” of Ladakh) goes through the Sham region, the lower part of Ladakh. The trek can be done throughout the year; it is a great opportunity to discover the villages and the everyday life of Ladakhis. On the way back, visit the Alchi monastery which is the most prominent and largest among Ladakh's monasteries. Coming into existence in 11th century through Rinchen Zangpo, the Alchi monastery is home to antique paintings and sculptures that recreates the Kashmiri form of Buddhist representations. This easy trek can be done by beginners and family as well. The Sham Valley was transformed by the flowing stream which brought the entire area to life thus making it a gorgeous sight for avid trekkers and nature buffs. Taking you to a maximum altitude of 3900 M, the Sham Valley Trek gives trekkers a unique insight into the lives of the locals and the traditional rituals they follow which has still remained pristine and untouched by time. Taking you through distinctive Ladakhi villages and stunning monasteries, the Sham Valley Trek is for trekkers who wish to explore the history of Ladakh without prior trekking experience. Stay on this page for more details on Sham Valley Trek itinerary and FAQs.
                    
",Sham Valley Trek,"Jun,Jul,Aug,Sep,Jan,Feb",Easy
28,Markha Valley Winter Trek,Ladakh,10,4,63 KM,4050 mts.,25300,Leh to Leh,"
Brief Description 

                        The Markha Valley Winter trek is one of the most fascinating treks in Ladakh. The trek takes you on a beautiful journey in the land of fluttering colorful prayer flags, mane walls, high passes, exotic wildlife and unusual sheer canyons in depth of the cold Ladakh winters. Not only will you get a chance to experience the Ladakhi way of life in the cold, dark winter, but long stretches on the frozen Markha river makes it a great alternative to the Chadar trek, possibly even better!

Gear up for a beautiful and culturally rich experience in the winter wonderland of Hemis National Park.
                    
",Markha Valley Winter Trek,"Dec,Jan,Feb",Moderate
29,Miyar Valley Trek,Himachal Pradesh,8,4,60 KM,3990 mts.,15900,Changut to Changut,"
Brief Description 

                        Miyar Valley Trek starts from Udaipur in Lahaul, Himachal Pradesh. The trail starts from the village of Shukto in the stunning Miyar Valley - the Yosemite of the Himalaya. The walk is mostly on an easy flat trail through some of the most spectacular landscapes in the Central Himalaya. Miyar valley hosts medicinal plants and herbs, wildlife like snow leopard and the Himalayan brown bear apart from countless migratory birds, sapphire and ruby encrusted rocks, and seven crystal green glacial lakes. We follow the Miyar River across vast pastures, wildflowered grassland and cold glacial streams till Kesar Yon Chhaap, an idyllic campsite near the snout of the 24 km long Miyar glacier, surrounded by hidden lakes. The best time to do Miyar Valley is May - June, and September - October. Scroll to the bottom to read some amazing blogs posts. The page includes all essential information like - Miyar Valley trek route map, temperature and weather charts, photos and videos. 
                    
",Miyar Valley Trek,"Jul,Aug,Sep",Moderate
30,Kang La ( Pass ) Trek,Himachal Pradesh,12,6,90 KM,5465 mts.,84000,Manali to Srinagar,"
Brief Description 

                        The Kangla pass trek begins in the Miyar Valley in Lahaul, famous for its wildflowers and pristine alpine pastures, and crosses the Kang La Pass at a staggering altitude of 5465M taking you to the Zanskar valley in Ladakh, a stark alpine world of rock and ice. Lying on the border of Himachal and J&K, Kang La has the longest glacial approach of any pass in the central Himalaya at 24 km. The trail ascends one of the longest glaciers in Himachal Pradesh to access the extremely remote village of Padum in Zanskar, with a total contrast of scenery and culture. This challenging crossover trek between Himachal and Ladakh takes trekkers through pristine meadows, multiple emerald green glacial lakes, crevassed snowfields, rocky moraines, massive glaciers surrounded by several unnamed peaks. Being one of the most unexplored and untouched trails in the Indian Himalayas, the Kang La Trek is not for the faint-hearted, meant for only experienced trekkers with high physical fitness. This lengthy trek takes you from Manali to Srinagar, giving you unimaginable changes in scenery, landscapes, cultures, and languages. A complete package of a trek indeed. Stay on this page for more details Like - Kang La trek route map, itinerary, temperature chart, photos, and videos. Scroll to the end to read Kangla pass trek blogs.
                    
",Kang La Trek,"Jul,Aug,Sep",Difficult
31,Everest Base Camp Trek ,Nepal,15,5,120 KM,5545 mts.,54000,Kathmandu to Kathmandu,"
Brief Description 

                        Everest Base Camp ( EBC ) - the three magical words for every trekking and hiking enthusiast. The journey to the base camp of the highest peak in the world is the journey of a lifetime. The Everest Base Camp trek goes to the south base camp of Mt. Everest offering views of Everest, Lhotse, Makalu, Nuptse, Pumori, and Ama Dablam. Apart from trekking for two weeks through the beautiful Khumbu region to the base camp of the highest mountain in the world, EBC trek also takes you through unique Nepali villages and to remote mountain monasteries. You will experience traditional Sherpa culture, hike through dense forests and harsh rocky alpine landscapes to finally stand face to face with the huge and mighty Mount Everest. Keep reading below for more details including Everest Base Camp Trek route map, photos, FAQs and the itinerary. Find Everest Base Camp Trek blogs at the end of this page. Head to the FAQ section for the detailed packing list specific to Nepal treks.
                    
",Everest Base Camp Trek,"Mar,Apr,May,Jun,Sep,Oct,Nov,Dec",Difficult
